movieId,title,genres
1,ToyStory(1995),Animation|Children's|Comedy
2,Jumanji(1995),Adventure|Children's|Fantasy
3,GrumpierOldMen(1995),Comedy|Romance
4,WaitingtoExhale(1995),Comedy|Drama
5,FatheroftheBridePartII(1995),Comedy
6,Heat(1995),Action|Crime|Thriller
7,Sabrina(1995),Comedy|Romance
8,TomandHuck(1995),Adventure|Children's
9,SuddenDeath(1995),Action
10,GoldenEye(1995),Action|Adventure|Thriller
11,AmericanPresidentThe(1995),Comedy|Drama|Romance
12,Dracula:DeadandLovingIt(1995),Comedy|Horror
13,Balto(1995),Animation|Children's
14,Nixon(1995),Drama
15,CutthroatIsland(1995),Action|Adventure|Romance
16,Casino(1995),Drama|Thriller
17,SenseandSensibility(1995),Drama|Romance
18,FourRooms(1995),Thriller
19,AceVentura:WhenNatureCalls(1995),Comedy
20,MoneyTrain(1995),Action
21,GetShorty(1995),Action|Comedy|Drama
22,Copycat(1995),Crime|Drama|Thriller
23,Assassins(1995),Thriller
24,Powder(1995),Drama|Sci-Fi
25,LeavingLasVegas(1995),Drama|Romance
26,Othello(1995),Drama
27,NowandThen(1995),Drama
28,Persuasion(1995),Romance
29,CityofLostChildrenThe(1995),Adventure|Sci-Fi
30,ShanghaiTriad(Yaoayaoyaodaowaipoqiao)(1995),Drama
31,DangerousMinds(1995),Drama
32,TwelveMonkeys(1995),Drama|Sci-Fi
33,WingsofCourage(1995),Adventure|Romance
34,Babe(1995),Children's|Comedy|Drama
35,Carrington(1995),Drama|Romance
36,DeadManWalking(1995),Drama
37,AcrosstheSeaofTime(1995),Documentary
38,ItTakesTwo(1995),Comedy
39,Clueless(1995),Comedy|Romance
40,CrytheBelovedCountry(1995),Drama
41,RichardIII(1995),Drama|War
42,DeadPresidents(1995),Action|Crime|Drama
43,Restoration(1995),Drama
44,MortalKombat(1995),Action|Adventure
45,ToDieFor(1995),Comedy|Drama
46,HowtoMakeanAmericanQuilt(1995),Drama|Romance
47,Seven(Se7en)(1995),Crime|Thriller
48,Pocahontas(1995),Animation|Children's|Musical|Romance
49,WhenNightIsFalling(1995),Drama|Romance
50,UsualSuspectsThe(1995),Crime|Thriller
51,GuardianAngel(1994),Action|Drama|Thriller
52,MightyAphrodite(1995),Comedy
53,Lamerica(1994),Drama
54,BigGreenThe(1995),Children's|Comedy
55,Georgia(1995),Drama
56,KidsoftheRoundTable(1995),Adventure|Children's|Fantasy
57,HomefortheHolidays(1995),Drama
58,PostinoIl(ThePostman)(1994),Drama|Romance
59,ConfessionalThe(LeConfessionnal)(1995),Drama|Mystery
60,IndianintheCupboardThe(1995),Adventure|Children's|Fantasy
61,EyeforanEye(1996),Drama|Thriller
62,Mr.Holland'sOpus(1995),Drama
63,Don'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood(1996),Comedy
64,TwoifbySea(1996),Comedy|Romance
65,Bio-Dome(1996),Comedy
66,LawnmowerMan2:BeyondCyberspace(1996),Sci-Fi|Thriller
67,TwoBits(1995),Drama
68,FrenchTwist(Gazonmaudit)(1995),Comedy|Romance
69,Friday(1995),Comedy
70,FromDuskTillDawn(1996),Action|Comedy|Crime|Horror|Thriller
71,FairGame(1995),Action
72,KickingandScreaming(1995),Comedy|Drama
73,Mis閞ablesLes(1995),Drama|Musical
74,BedofRoses(1996),Drama|Romance
75,BigBully(1996),Comedy|Drama
76,Screamers(1995),Sci-Fi|Thriller
77,NicoIcon(1995),Documentary
78,CrossingGuardThe(1995),Drama
79,JurorThe(1996),Drama|Thriller
80,WhiteBalloonThe(BadkonakeSefid)(1995),Drama
81,ThingstoDoinDenverwhenYou'reDead(1995),Crime|Drama|Romance
82,Antonia'sLine(Antonia)(1995),Drama
83,OnceUponaTime...WhenWeWereColored(1995),Drama
84,LastSummerintheHamptons(1995),Comedy|Drama
85,AngelsandInsects(1995),Drama|Romance
86,WhiteSquall(1996),Adventure|Drama
87,DunstonChecksIn(1996),Children's|Comedy
88,BlackSheep(1996),Comedy
89,NickofTime(1995),Action|Thriller
90,JourneyofAugustKingThe(1995),Drama
92,MaryReilly(1996),Drama|Thriller
93,VampireinBrooklyn(1995),Comedy|Romance
94,BeautifulGirls(1996),Drama
95,BrokenArrow(1996),Action|Thriller
96,IntheBleakMidwinter(1995),Comedy
97,Hate(HaineLa)(1995),Drama
98,Shopping(1994),Action|Thriller
99,HeidiFleiss:HollywoodMadam(1995),Documentary
100,CityHall(1996),Drama|Thriller
101,BottleRocket(1996),Comedy
102,Mr.Wrong(1996),Comedy
103,Unforgettable(1996),Thriller
104,HappyGilmore(1996),Comedy
105,BridgesofMadisonCountyThe(1995),Drama|Romance
106,NobodyLovesMe(Keinerliebtmich)(1994),Comedy|Drama
107,MuppetTreasureIsland(1996),Adventure|Children's|Comedy|Musical
108,Catwalk(1995),Documentary
109,HeadlessBodyinToplessBar(1995),Comedy
110,Braveheart(1995),Action|Drama|War
111,TaxiDriver(1976),Drama|Thriller
112,RumbleintheBronx(1995),Action|Adventure|Crime
113,BeforeandAfter(1996),Drama|Mystery
114,Margaret'sMuseum(1995),Drama
115,HappinessIsintheField(1995),Comedy
116,AnneFrankRemembered(1995),Documentary
117,YoungPoisoner'sHandbookThe(1995),Crime
118,IfLucyFell(1996),Comedy|Romance
119,StealBigStealLittle(1995),Comedy
120,RacetheSun(1996),Drama
121,BoysofSt.VincentThe(1993),Drama
122,Boomerang(1992),Comedy|Romance
123,ChungkingExpress(1994),Drama|Mystery|Romance
124,StarMakerThe(UomodellestelleL')(1995),Drama
125,FlirtingWithDisaster(1996),Comedy
126,NeverEndingStoryIIIThe(1994),Adventure|Children's|Fantasy
127,SilenceofthePalaceThe(SaimtelQusur)(1994),Drama
128,Jupiter'sWife(1994),Documentary
129,PieintheSky(1995),Comedy|Romance
130,Angela(1995),Drama
131,FrankieStarlight(1995),Drama|Romance
132,Jade(1995),Thriller
133,NuebaYol(1995),Comedy|Drama
134,SonicOutlaws(1995),Documentary
135,DownPeriscope(1996),Comedy
136,FromtheJournalsofJeanSeberg(1995),Documentary
